Volt,Frequency,S21,S31
0.5,500.72,-1.036,-15.280
0.5,506,-1.108,-15.024
0.5,511.27,-1.176,-14.908
0.5,516.54,-1.296,-14.760
0.5,521.81,-1.336,-14.512
0.5,527.09,-1.412,-14.248
0.5,532.36,-1.512,-14.132
0.5,537.63,-1.544,-13.852
0.5,542.9,-1.612,-13.648
0.5,548.18,-1.664,-13.488
0.5,553.45,-1.664,-13.300
0.5,558.72,-1.724,-13.096
0.5,564,-1.712,-12.980
0.5,569.27,-1.720,-12.820
0.5,574.54,-1.700,-12.564
0.5,579.81,-1.672,-12.376
0.5,585.09,-1.632,-12.136
0.5,590.36,-1.544,-11.884
0.5,595.63,-1.528,-11.656
0.5,600.9,-1.436,-11.420
0.5,606.18,-1.364,-11.228
0.5,611.45,-1.328,-11.016
0.5,616.72,-1.284,-10.796
0.5,0.622,-1.216,-10.568
0.5,627.27,-1.188,-10.384
0.5,632.54,-1.128,-10.140
0.5,637.81,-1.136,-10.012
0.5,643.09,-1.128,-9.844
0.5,648.36,-1.128,-9.740
0.5,653.63,-1.104,-9.552
0.5,658.9,-1.152,-9.488
0.5,664.18,-1.144,-9.336
0.5,669.45,-1.144,-9.220
0.5,674.72,-1.200,-9.136
0.5,680,-1.200,-9.088
0.5,685.27,-1.224,-9.016
0.5,690.54,-1.284,-8.996
0.5,695.81,-1.336,-9.020
0.5,701.09,-1.416,-9.116
0.5,706.36,-1.432,-9.288
0.5,711.63,-1.456,-9.512
0.5,716.9,-1.456,-9.740
0.5,722.18,-1.468,-10
0.5,727.45,-1.464,-10.088
0.5,732.72,-1.516,-10.240
0.5,738,-1.532,-10.280
0.5,743.27,-1.552,-10.344
0.5,748.54,-1.648,-10.356
0.5,753.81,-1.724,-10.312
0.5,759.09,-1.788,-10.264
0.5,764.36,-1.864,-10.168
0.5,769.63,-1.972,-10.092
0.5,774.9,-2.084,-10.044
0.5,780.18,-2.120,-9.936
0.5,785.45,-2.196,-9.896
0.5,790.72,-2.264,-9.844
0.5,796,-2.324,-9.776
0.5,801.27,-2.308,-9.712
0.5,806.54,-2.336,-9.564
0.5,811.81,-2.332,-9.456
0.5,817.09,-2.312,-9.356
0.5,822.36,-2.280,-9.276
0.5,827.63,-2.248,-9.160
0.5,832.9,-2.156,-8.952
0.5,838.18,-2.152,-8.904
0.5,843.45,-2.092,-8.724
0.5,848.72,-1.940,-8.524
0.5,854,-1.908,-8.408
0.5,859.27,-1.876,-8.304
0.5,864.54,-1.764,-8.128
0.5,869.81,-1.748,-8.012
0.5,875.09,-1.724,-7.872
0.5,880.36,-1.608,-7.740
0.5,885.63,-1.608,-7.692
0.5,890.9,-1.584,-7.600
0.5,896.18,-1.660,-7.548
0.5,901.45,-1.676,-7.548
0.5,906.72,-1.712,-7.484
0.5,912,-1.728,-7.424
0.5,917.27,-1.712,-7.344
0.5,922.54,-1.780,-7.392
0.5,927.81,-1.788,-7.368
0.5,933.09,-1.860,-7.372
0.5,938.36,-1.868,-7.328
0.5,943.63,-1.912,-7.328
0.5,948.9,-1.972,-7.344
0.5,954.18,-2.028,-7.368
0.5,959.45,-2.112,-7.428
0.5,964.72,-2.184,-7.436
0.5,970,-2.232,-7.432
0.5,975.27,-2.332,-7.488
0.5,980.54,-2.360,-7.480
0.5,985.81,-2.404,-7.488
0.5,991.09,-2.424,-7.500
0.5,996.36,-2.492,-7.552
1,500.72,-0.924,-16.580
1,506,-0.996,-16.376
1,511.27,-1.060,-16.172
1,516.54,-1.168,-16.084
1,521.81,-1.180,-15.856
1,527.09,-1.264,-15.624
1,532.36,-1.352,-15.364
1,537.63,-1.392,-15.120
1,542.9,-1.460,-14.904
1,548.18,-1.520,-14.664
1,553.45,-1.496,-14.516
1,558.72,-1.556,-14.316
1,564,-1.556,-14.144
1,569.27,-1.556,-13.948
1,574.54,-1.524,-13.708
1,579.81,-1.500,-13.508
1,585.09,-1.440,-13.192
1,590.36,-1.396,-12.964
1,595.63,-1.360,-12.700
1,600.9,-1.284,-12.360
1,606.18,-1.204,-12.188
1,611.45,-1.164,-11.996
1,616.72,-1.120,-11.688
1,0.622,-1.060,-11.516
1,627.27,-1.040,-11.300
1,632.54,-0.992,-11.148
1,637.81,-0.992,-10.956
1,643.09,-1.008,-10.792
1,648.36,-0.976,-10.672
1,653.63,-0.992,-10.516
1,658.9,-1.024,-10.400
1,664.18,-1.008,-10.248
1,669.45,-1.004,-10.152
1,674.72,-1.060,-10.032
1,680,-1.076,-9.948
1,685.27,-1.100,-9.896
1,690.54,-1.152,-9.844
1,695.81,-1.196,-9.840
1,701.09,-1.256,-9.884
1,706.36,-1.268,-10.032
1,711.63,-1.284,-10.264
1,716.9,-1.280,-10.612
1,722.18,-1.288,-10.864
1,727.45,-1.260,-11.064
1,732.72,-1.304,-11.300
1,738,-1.304,-11.372
1,743.27,-1.300,-11.400
1,748.54,-1.388,-11.464
1,753.81,-1.448,-11.336
1,759.09,-1.524,-11.284
1,764.36,-1.592,-11.104
1,769.63,-1.668,-11.044
1,774.9,-1.804,-10.928
1,780.18,-1.836,-10.912
1,785.45,-1.912,-10.796
1,790.72,-1.964,-10.700
1,796,-2.012,-10.628
1,801.27,-2.012,-10.504
1,806.54,-2.044,-10.392
1,811.81,-2.052,-10.304
1,817.09,-2.044,-10.224
1,822.36,-1.984,-10.100
1,827.63,-1.992,-9.992
1,832.9,-1.904,-9.824
1,838.18,-1.868,-9.744
1,843.45,-1.808,-9.552
1,848.72,-1.696,-9.356
1,854,-1.672,-9.240
1,859.27,-1.656,-9.168
1,864.54,-1.532,-8.900
1,869.81,-1.516,-8.820
1,875.09,-1.444,-8.736
1,880.36,-1.408,-8.572
1,885.63,-1.384,-8.484
1,890.9,-1.376,-8.404
1,896.18,-1.424,-8.368
1,901.45,-1.468,-8.296
1,906.72,-1.476,-8.284
1,912,-1.472,-8.200
1,917.27,-1.468,-8.164
1,922.54,-1.564,-8.180
1,927.81,-1.548,-8.068
1,933.09,-1.616,-8.084
1,938.36,-1.592,-8.032
1,943.63,-1.648,-8.064
1,948.9,-1.696,-8.036
1,954.18,-1.764,-8.104
1,959.45,-1.844,-8.112
1,964.72,-1.904,-8.100
1,970,-1.940,-8.120
1,975.27,-2.012,-8.192
1,980.54,-2.064,-8.140
1,985.81,-2.108,-8.156
1,991.09,-2.140,-8.140
1,996.36,-2.196,-8.244
2,500.72,-0.812,-19.040
2,506,-0.876,-18.676
2,511.27,-0.904,-18.528
2,516.54,-0.984,-18.124
2,521.81,-1.024,-17.832
2,527.09,-1.068,-17.456
2,532.36,-1.168,-17.292
2,537.63,-1.208,-17.032
2,542.9,-1.256,-16.724
2,548.18,-1.324,-16.500
2,553.45,-1.320,-16.200
2,558.72,-1.360,-15.980
2,564,-1.360,-15.804
2,569.27,-1.340,-15.592
2,574.54,-1.332,-15.380
2,579.81,-1.296,-15.136
2,585.09,-1.260,-14.824
2,590.36,-1.208,-14.504
2,595.63,-1.176,-14.272
2,600.9,-1.096,-13.932
2,606.18,-1.024,-13.724
2,611.45,-0.992,-13.480
2,616.72,-0.960,-13.252
2,0.622,-0.908,-13.088
2,627.27,-0.876,-12.872
2,632.54,-0.844,-12.676
2,637.81,-0.844,-12.504
2,643.09,-0.860,-12.328
2,648.36,-0.844,-12.172
2,653.63,-0.844,-12.008
2,658.9,-0.872,-11.900
2,664.18,-0.872,-11.748
2,669.45,-0.836,-11.576
2,674.72,-0.916,-11.460
2,680,-0.912,-11.360
2,685.27,-0.944,-11.224
2,690.54,-0.976,-11.212
2,695.81,-1.056,-11.184
2,701.09,-1.092,-11.204
2,706.36,-1.112,-11.396
2,711.63,-1.164,-11.652
2,716.9,-1.168,-12.092
2,722.18,-1.156,-12.428
2,727.45,-1.128,-12.700
2,732.72,-1.152,-13.008
2,738,-1.120,-13.168
2,743.27,-1.080,-13.176
2,748.54,-1.132,-13.216
2,753.81,-1.156,-13.100
2,759.09,-1.216,-13.008
2,764.36,-1.260,-12.844
2,769.63,-1.308,-12.640
2,774.9,-1.420,-12.528
2,780.18,-1.468,-12.420
2,785.45,-1.532,-12.304
2,790.72,-1.608,-12.156
2,796,-1.652,-12.068
2,801.27,-1.648,-11.908
2,806.54,-1.684,-11.792
2,811.81,-1.688,-11.744
2,817.09,-1.676,-11.620
2,822.36,-1.668,-11.512
2,827.63,-1.636,-11.408
2,832.9,-1.576,-11.236
2,838.18,-1.576,-11.148
2,843.45,-1.504,-10.936
2,848.72,-1.396,-10.760
2,854,-1.372,-10.660
2,859.27,-1.344,-10.532
2,864.54,-1.240,-10.360
2,869.81,-1.248,-10.228
2,875.09,-1.196,-10.136
2,880.36,-1.124,-9.996
2,885.63,-1.124,-9.900
2,890.9,-1.104,-9.732
2,896.18,-1.164,-9.760
2,901.45,-1.184,-9.700
2,906.72,-1.208,-9.620
2,912,-1.204,-9.528
2,917.27,-1.204,-9.448
2,922.54,-1.272,-9.472
2,927.81,-1.264,-9.368
2,933.09,-1.320,-9.376
2,938.36,-1.276,-9.288
2,943.63,-1.320,-9.320
2,948.9,-1.344,-9.300
2,954.18,-1.400,-9.272
2,959.45,-1.484,-9.300
2,964.72,-1.540,-9.260
2,970,-1.564,-9.228
2,975.27,-1.668,-9.288
2,980.54,-1.676,-9.320
2,985.81,-1.728,-9.300
2,991.09,-1.728,-9.316
2,996.36,-1.788,-9.412
3,500.72,-0.744,-20.928
3,506,-0.792,-20.744
3,511.27,-0.820,-20.384
3,516.54,-0.916,-20.212
3,521.81,-0.928,-19.632
3,527.09,-0.984,-19.332
3,532.36,-1.056,-18.952
3,537.63,-1.084,-18.528
3,542.9,-1.148,-18.264
3,548.18,-1.196,-18.028
3,553.45,-1.196,-17.652
3,558.72,-1.236,-17.504
3,564,-1.244,-17.168
3,569.27,-1.240,-16.992
3,574.54,-1.208,-16.656
3,579.81,-1.192,-16.424
3,585.09,-1.140,-16.024
3,590.36,-1.096,-15.804
3,595.63,-1.056,-15.568
